LexToken(commentBlock,'/* Block comment example\nThis is a test for the block comment token.\n*/',65,1)
LexToken(CATCH,'catch',113,1319)
LexToken(LPAREN,'(',113,1325)
LexToken(NEWDATATYPE,'ArithmeticException',113,1326)
LexToken(VARIABLE,'e',113,1346)
LexToken(RPAREN,')',113,1347)
LexToken(LBRACE,'{',113,1349)
LexToken(PRINT,'print',114,1363)
LexToken(LPAREN,'(',114,1368)
LexToken(CHAINCHAR,'"Division by zero!"',114,1369)
LexToken(RPAREN,')',114,1388)
LexToken(DOTCOMMA,';',114,1389)
LexToken(RBRACE,'}',115,1399)
LexToken(FINALLY,'finally',115,1401)
LexToken(LBRACE,'{',115,1409)
LexToken(PRINT,'print',116,1423)
LexToken(LPAREN,'(',116,1428)
LexToken(CHAINCHAR,'"End of try-catch block"',116,1429)
LexToken(RPAREN,')',116,1453)
LexToken(DOTCOMMA,';',116,1454)
LexToken(RBRACE,'}',117,1464)
LexToken(VARIABLE,'number',119,1475)
LexToken(EQUALS,'=',119,1482)
LexToken(LPAREN,'(',119,1484)
LexToken(INT,'int',119,1485)
LexToken(RPAREN,')',119,1488)
LexToken(VARIABLE,'pi',119,1490)
LexToken(DOTCOMMA,';',119,1492)
LexToken(commentLine,'// Casting',119,1494)
LexToken(VARIABLE,'myMap',120,1513)
LexToken(DATAATTRIBUTE,'.put',120,1518)
LexToken(LPAREN,'(',120,1522)
LexToken(CHAINCHAR,'"Key"',120,1523)
LexToken(COMMA,',',120,1528)
LexToken(NUMBER,123,120,1530)
LexToken(RPAREN,')',120,1533)
LexToken(DOTCOMMA,';',120,1534)
LexToken(commentLine,'// Check reserved words',122,1545)
LexToken(FUNCTION,'nullCheck(null)',123,1577)
LexToken(DOTCOMMA,';',123,1592)
LexToken(FUNCTION,'thisCheck(this)',124,1602)
LexToken(DOTCOMMA,';',124,1617)
LexToken(VARIABLE,'superCheck',125,1627)
LexToken(LPAREN,'(',125,1637)
LexToken(SUPER,'super',125,1638)
LexToken(DATAFUNCTION,'.toString()',125,1643)
LexToken(RPAREN,')',125,1654)
LexToken(DOTCOMMA,';',125,1655)
LexToken(PRINT,'print',127,1666)
LexToken(LPAREN,'(',127,1671)
LexToken(VARIABLE,'greeting',127,1672)
LexToken(PLUS,'+',127,1681)
LexToken(CHAINCHAR,'" "',127,1683)
LexToken(PLUS,'+',127,1687)
LexToken(VARIABLE,'initial',127,1689)
LexToken(PLUS,'+',127,1697)
LexToken(CHAINCHAR,"'!'",127,1699)
LexToken(RPAREN,')',127,1702)
LexToken(DOTCOMMA,';',127,1703)
LexToken(RBRACE,'}',128,1709)
LexToken(PRIVATE,'private',130,1716)
LexToken(VOID,'void',130,1724)
LexToken(VARIABLE,'nullCheck',130,1729)
LexToken(LPAREN,'(',130,1738)
LexToken(NEWDATATYPE,'Object',130,1739)
LexToken(VARIABLE,'obj',130,1746)
LexToken(RPAREN,')',130,1749)
LexToken(LBRACE,'{',130,1751)
LexToken(IF,'if',131,1761)
LexToken(LPAREN,'(',131,1764)
LexToken(VARIABLE,'obj',131,1765)
LexToken(EQUALS,'=',131,1769)
LexToken(EQUALS,'=',131,1770)
LexToken(NULL,'null',131,1772)
LexToken(RPAREN,')',131,1776)
LexToken(LBRACE,'{',131,1778)
LexToken(PRINT,'print',132,1792)
LexToken(LPAREN,'(',132,1797)
LexToken(CHAINCHAR,'"Object is null"',132,1798)
LexToken(RPAREN,')',132,1814)
LexToken(DOTCOMMA,';',132,1815)
LexToken(RBRACE,'}',133,1825)
LexToken(RBRACE,'}',134,1831)
LexToken(PRIVATE,'private',136,1838)
LexToken(VOID,'void',136,1846)
LexToken(VARIABLE,'thisCheck',136,1851)
LexToken(LPAREN,'(',136,1860)
LexToken(NEWDATATYPE,'TestClass',136,1861)
LexToken(VARIABLE,'obj',136,1871)
LexToken(RPAREN,')',136,1874)
LexToken(LBRACE,'{',136,1876)
LexToken(IF,'if',137,1886)
LexToken(LPAREN,'(',137,1889)
LexToken(VARIABLE,'obj',137,1890)
LexToken(EQUALS,'=',137,1894)
LexToken(EQUALS,'=',137,1895)
LexToken(THIS,'this',137,1897)
LexToken(RPAREN,')',137,1901)
LexToken(LBRACE,'{',137,1903)
LexToken(PRINT,'print',138,1917)
LexToken(LPAREN,'(',138,1922)
LexToken(CHAINCHAR,'"This object"',138,1923)
LexToken(RPAREN,')',138,1936)
LexToken(DOTCOMMA,';',138,1937)
LexToken(RBRACE,'}',139,1947)
LexToken(RBRACE,'}',140,1953)
LexToken(PRIVATE,'private',142,1960)
LexToken(VOID,'void',142,1968)
LexToken(VARIABLE,'superCheck',142,1973)
LexToken(LPAREN,'(',142,1983)
LexToken(STRING,'String',142,1984)
LexToken(VARIABLE,'str',142,1991)
LexToken(RPAREN,')',142,1994)
LexToken(LBRACE,'{',142,1996)
LexToken(IF,'if',143,2006)
LexToken(LPAREN,'(',143,2009)
LexToken(VARIABLE,'str',143,2010)
LexToken(NEQ,'!=',143,2014)
LexToken(NULL,'null',143,2017)
LexToken(RPAREN,')',143,2021)
LexToken(LBRACE,'{',143,2023)
LexToken(PRINT,'print',144,2037)
LexToken(LPAREN,'(',144,2042)
LexToken(CHAINCHAR,'"Super check passed"',144,2043)
LexToken(RPAREN,')',144,2063)
LexToken(DOTCOMMA,';',144,2064)
LexToken(RBRACE,'}',145,2074)
LexToken(RBRACE,'}',146,2080)
LexToken(PRIVATE,'private',148,2087)
LexToken(VOID,'void',148,2095)
LexToken(PRINT,'print',148,2100)
LexToken(LPAREN,'(',148,2105)
LexToken(STRING,'String',148,2106)
LexToken(VARIABLE,'message',148,2113)
LexToken(RPAREN,')',148,2120)
LexToken(LBRACE,'{',148,2122)
LexToken(NEWDATATYPE,'System',149,2132)
LexToken(DATAATTRIBUTE,'.out',149,2138)
LexToken(DATAFUNCTION,'.println(message)',149,2142)
LexToken(DOTCOMMA,';',149,2159)
LexToken(RBRACE,'}',150,2165)
LexToken(RBRACE,'}',151,2167)
