LexToken(commentBlock,'/* Block comment example\nThis is a test for the block comment token.\n*/',65,1)
LexToken(CATCH,'catch',113,1317)
LexToken(LPAREN,'(',113,1323)
LexToken(NEWDATATYPE,'ArithmeticException',113,1324)
LexToken(VARIABLE,'e',113,1344)
LexToken(RPAREN,')',113,1345)
LexToken(LBRACE,'{',113,1347)
LexToken(PRINT,'print',114,1361)
LexToken(LPAREN,'(',114,1366)
LexToken(CHAINCHAR,'"Division by zero!"',114,1367)
LexToken(RPAREN,')',114,1386)
LexToken(DOTCOMMA,';',114,1387)
LexToken(RBRACE,'}',115,1397)
LexToken(FINALLY,'finally',115,1399)
LexToken(LBRACE,'{',115,1407)
LexToken(PRINT,'print',116,1421)
LexToken(LPAREN,'(',116,1426)
LexToken(CHAINCHAR,'"End of try-catch block"',116,1427)
LexToken(RPAREN,')',116,1451)
LexToken(DOTCOMMA,';',116,1452)
LexToken(RBRACE,'}',117,1462)
LexToken(VARIABLE,'number',119,1473)
LexToken(EQUALS,'=',119,1480)
LexToken(LPAREN,'(',119,1482)
LexToken(INT,'int',119,1483)
LexToken(RPAREN,')',119,1486)
LexToken(VARIABLE,'pi',119,1488)
LexToken(DOTCOMMA,';',119,1490)
LexToken(commentLine,'// Casting',119,1492)
LexToken(VARIABLE,'myMap',120,1511)
LexToken(DATAATTRIBUTE,'.put',120,1516)
LexToken(LPAREN,'(',120,1520)
LexToken(CHAINCHAR,'"Key"',120,1521)
LexToken(COMMA,',',120,1526)
LexToken(NUMBER,123,120,1528)
LexToken(RPAREN,')',120,1531)
LexToken(DOTCOMMA,';',120,1532)
LexToken(commentLine,'// Check reserved words',122,1543)
LexToken(FUNCTION,'nullCheck(null)',123,1575)
LexToken(DOTCOMMA,';',123,1590)
LexToken(FUNCTION,'thisCheck(this)',124,1600)
LexToken(DOTCOMMA,';',124,1615)
LexToken(VARIABLE,'superCheck',125,1625)
LexToken(LPAREN,'(',125,1635)
LexToken(SUPER,'super',125,1636)
LexToken(DATAFUNCTION,'.toString()',125,1641)
LexToken(RPAREN,')',125,1652)
LexToken(DOTCOMMA,';',125,1653)
LexToken(PRINT,'print',127,1664)
LexToken(LPAREN,'(',127,1669)
LexToken(VARIABLE,'greeting',127,1670)
LexToken(PLUS,'+',127,1679)
LexToken(CHAINCHAR,'" "',127,1681)
LexToken(PLUS,'+',127,1685)
LexToken(VARIABLE,'initial',127,1687)
LexToken(PLUS,'+',127,1695)
LexToken(CHAINCHAR,"'!'",127,1697)
LexToken(RPAREN,')',127,1700)
LexToken(DOTCOMMA,';',127,1701)
LexToken(RBRACE,'}',128,1707)
LexToken(PRIVATE,'private',130,1714)
LexToken(VOID,'void',130,1722)
LexToken(VARIABLE,'nullCheck',130,1727)
LexToken(LPAREN,'(',130,1736)
LexToken(NEWDATATYPE,'Object',130,1737)
LexToken(VARIABLE,'obj',130,1744)
LexToken(RPAREN,')',130,1747)
LexToken(LBRACE,'{',130,1749)
LexToken(IF,'if',131,1759)
LexToken(LPAREN,'(',131,1762)
LexToken(VARIABLE,'obj',131,1763)
LexToken(EQUALS,'=',131,1767)
LexToken(EQUALS,'=',131,1768)
LexToken(NULL,'null',131,1770)
LexToken(RPAREN,')',131,1774)
LexToken(LBRACE,'{',131,1776)
LexToken(PRINT,'print',132,1790)
LexToken(LPAREN,'(',132,1795)
LexToken(CHAINCHAR,'"Object is null"',132,1796)
LexToken(RPAREN,')',132,1812)
LexToken(DOTCOMMA,';',132,1813)
LexToken(RBRACE,'}',133,1823)
LexToken(RBRACE,'}',134,1829)
LexToken(PRIVATE,'private',136,1836)
LexToken(VOID,'void',136,1844)
LexToken(VARIABLE,'thisCheck',136,1849)
LexToken(LPAREN,'(',136,1858)
LexToken(NEWDATATYPE,'TestClass',136,1859)
LexToken(VARIABLE,'obj',136,1869)
LexToken(RPAREN,')',136,1872)
LexToken(LBRACE,'{',136,1874)
LexToken(IF,'if',137,1884)
LexToken(LPAREN,'(',137,1887)
LexToken(VARIABLE,'obj',137,1888)
LexToken(EQUALS,'=',137,1892)
LexToken(EQUALS,'=',137,1893)
LexToken(THIS,'this',137,1895)
LexToken(RPAREN,')',137,1899)
LexToken(LBRACE,'{',137,1901)
LexToken(PRINT,'print',138,1915)
LexToken(LPAREN,'(',138,1920)
LexToken(CHAINCHAR,'"This object"',138,1921)
LexToken(RPAREN,')',138,1934)
LexToken(DOTCOMMA,';',138,1935)
LexToken(RBRACE,'}',139,1945)
LexToken(RBRACE,'}',140,1951)
LexToken(PRIVATE,'private',142,1958)
LexToken(VOID,'void',142,1966)
LexToken(VARIABLE,'superCheck',142,1971)
LexToken(LPAREN,'(',142,1981)
LexToken(STRING,'String',142,1982)
LexToken(VARIABLE,'str',142,1989)
LexToken(RPAREN,')',142,1992)
LexToken(LBRACE,'{',142,1994)
LexToken(IF,'if',143,2004)
LexToken(LPAREN,'(',143,2007)
LexToken(VARIABLE,'str',143,2008)
LexToken(NEQ,'!=',143,2012)
LexToken(NULL,'null',143,2015)
LexToken(RPAREN,')',143,2019)
LexToken(LBRACE,'{',143,2021)
LexToken(PRINT,'print',144,2035)
LexToken(LPAREN,'(',144,2040)
LexToken(CHAINCHAR,'"Super check passed"',144,2041)
LexToken(RPAREN,')',144,2061)
LexToken(DOTCOMMA,';',144,2062)
LexToken(RBRACE,'}',145,2072)
LexToken(RBRACE,'}',146,2078)
LexToken(PRIVATE,'private',148,2085)
LexToken(VOID,'void',148,2093)
LexToken(PRINT,'print',148,2098)
LexToken(LPAREN,'(',148,2103)
LexToken(STRING,'String',148,2104)
LexToken(VARIABLE,'message',148,2111)
LexToken(RPAREN,')',148,2118)
LexToken(LBRACE,'{',148,2120)
LexToken(NEWDATATYPE,'System',149,2130)
LexToken(DATAATTRIBUTE,'.out',149,2136)
LexToken(DATAFUNCTION,'.println(message)',149,2140)
LexToken(DOTCOMMA,';',149,2157)
LexToken(RBRACE,'}',150,2163)
LexToken(RBRACE,'}',151,2165)
